date, pm25, pm10, o3, no2, so2, co
2025/11/1, 16, 2, , 2, , 
2025/11/2, 10, 12, , 15, , 
2025/11/3, 31, 20, , 19, , 
2025/11/4, 48, 16, , 12, , 
2025/11/5, 38, 9, , 7, , 
2025/11/6, 20, 10, , 8, , 
2025/11/7, 22, 6, , 4, , 
2025/11/8, 17, 9, , 12, , 
2025/11/9, 26, 19, , 16, , 
2025/11/10, 53, 19, , 14, , 
2025/11/11, 49, 19, , 15, , 
2025/11/12, 43, 23, , 16, , 
2025/11/13, 45, 12, , 7, , 
2025/11/14, 31, 10, , 3, , 
2025/11/15, 29, , , , , 
2025/10/1, 46, 15, , 10, , 
2025/10/2, 33, 21, , 12, , 
2025/10/3, 43, 26, , 12, , 
2025/10/4, 50, 13, , 3, , 
2025/10/5, 23, 19, , 9, , 
2025/10/6, 32, 28, , 13, , 
2025/10/7, 47, 26, , 11, , 
2025/10/8, 49, 18, , 3, , 
2025/10/9, 37, 17, , 4, , 
2025/10/10, 30, 16, , 2, , 
2025/10/11, 31, 24, , 3, , 
2025/10/12, 37, 30, , 7, , 
2025/10/13, 46, 34, , 11, , 
2025/10/14, 57, 31, , 12, , 
2025/10/15, 50, 31, , 9, , 
2025/10/16, 49, 24, , 10, , 
2025/10/17, 42, 17, , 13, , 
2025/10/18, 36, 15, , 10, , 
2025/10/19, 35, 17, , 4, , 
2025/10/20, 22, 1, , 5, , 
2025/10/21, 6, 3, , 4, , 
2025/10/22, 17, 7, , 4, , 
2025/10/23, 21, 6, , 6, , 
2025/10/24, 16, 2, , 4, , 
2025/10/25, 11, 2, , 3, , 
2025/10/26, 11, 1, , 9, , 
2025/10/27, 8, , , , , 
2025/10/30, 12, 5, , 17, , 
2025/10/31, 15, 6, , 6, , 
2025/7/1, 70, 36, , 5, , 
2025/7/2, 70, 41, , 4, , 
2025/7/3, 71, 40, , 5, , 
2025/7/4, 81, 43, , 3, , 
2025/7/5, 80, 42, , 5, , 
2025/7/6, 89, 32, , 2, , 
2025/7/7, 64, 33, , 3, , 
2025/7/8, 76, 37, , 4, , 
2025/7/9, 77, 36, , 6, , 
2025/7/10, 75, 32, , 3, , 
2025/7/11, 81, 27, , 1, , 
2025/7/12, 66, 29, , 2, , 
2025/7/13, 75, 37, , 6, , 
2025/7/14, 84, 38, , 6, , 
2025/7/15, 84, 33, , 5, , 
2025/7/16, 74, 42, , 9, , 
2025/7/17, 89, 33, , 5, , 
2025/7/18, 87, 25, , 1, , 
2025/7/19, 67, 22, , 1, , 
2025/7/20, 62, 17, , 4, , 
2025/7/21, 43, 17, , 5, , 
2025/7/22, 34, 19, , 8, , 
2025/7/23, 41, 12, , 1, , 
2025/7/24, 25, 8, , 1, , 
2025/7/25, 29, 11, , 1, , 
2025/7/26, 32, 14, , 2, , 
2025/7/27, 40, 13, , 2, , 
2025/7/28, 42, 8, , 1, , 
2025/7/29, 22, 9, , 3, , 
2025/7/30, 28, 19, , 4, , 
2025/7/31, 41, 22, , 4, , 
2025/8/1, 42, 21, , 3, , 
2025/8/2, 49, 22, , 1, , 
2025/8/3, 54, 20, , 6, , 
2025/8/4, 46, 35, , 7, , 
2025/8/5, 66, 32, , 4, , 
2025/8/6, 53, 34, , 9, , 
2025/8/7, 58, 45, , 6, , 
2025/8/8, 68, 37, , 4, , 
2025/8/9, 58, 34, , 2, , 
2025/8/10, 61, 34, , 4, , 
2025/8/11, 55, 37, , 5, , 
2025/8/12, 65, 34, , 4, , 
2025/8/13, 53, 31, , 4, , 
2025/8/14, 59, 30, , 3, , 
2025/8/15, 57, 32, , 5, , 
2025/8/16, 69, 39, , 2, , 
2025/8/17, 72, 51, , 6, , 
2025/8/18, 97, 49, , 4, , 
2025/8/19, 114, 34, , 2, , 
2025/8/20, 80, 21, , 2, , 
2025/8/21, 52, 18, , 2, , 
2025/8/22, 41, 20, , 2, , 
2025/8/23, 48, 25, , 7, , 
2025/8/24, 57, 28, , 6, , 
2025/8/25, 52, 51, , 5, , 
2025/8/26, 69, 45, , 4, , 
2025/8/27, 69, 13, , 2, , 
2025/8/28, 29, 13, , 2, , 
2025/8/29, 28, 18, , 2, , 
2025/8/30, 48, 17, , 2, , 
2025/8/31, 45, 13, , 2, , 
2025/9/1, 36, 19, , 4, , 
2025/9/2, 55, 19, , 9, , 
2025/9/3, 42, 16, , 5, , 
2025/9/4, 44, 23, , 4, , 
2025/9/5, 48, 27, , 3, , 
2025/9/6, 46, 33, , 3, , 
2025/9/7, 56, 21, , 6, , 
2025/9/8, 45, 13, , 4, , 
2025/9/9, 28, 15, , 5, , 
2025/9/10, 33, 16, , 4, , 
2025/9/11, 36, 20, , 6, , 
2025/9/12, 44, 19, , 6, , 
2025/9/13, 45, 19, , 7, , 
2025/9/14, 47, 31, , 12, , 
2025/9/15, 66, 29, , 11, , 
2025/9/16, 64, 22, , 12, , 
2025/9/17, 54, 30, , 15, , 
2025/9/18, 53, 33, , 10, , 
2025/9/19, 48, 29, , 6, , 
2025/9/20, 56, 24, , 2, , 
2025/9/21, 47, 8, , 3, , 
2025/9/22, 18, 9, , 3, , 
2025/9/23, 22, 9, , 6, , 
2025/9/24, 23, 15, , 7, , 
2025/9/25, 30, 17, , 9, , 
2025/9/26, 36, 24, , 11, , 
2025/9/27, 50, 21, , 6, , 
2025/9/28, 43, 14, , 2, , 
2025/9/29, 24, 17, , 5, , 
2025/9/30, 34, 21, , 10, , 
2025/4/1, 49, 17, , 9, , 
2025/4/2, 34, 7, , 8, , 
2025/4/3, 24, 17, , 9, , 
2025/4/4, 37, 8, , 5, , 
2025/4/5, 23, 12, , 8, , 
2025/4/6, 35, 11, , 11, , 
2025/4/7, 31, 14, , 9, , 
2025/4/8, 33, 18, , 10, , 
2025/4/9, 41, 20, , 9, , 
2025/4/10, 42, 16, , 5, , 
2025/4/11, 37, 19, , 6, , 
2025/4/12, 47, 15, , 6, , 
2025/4/13, 44, 12, , 8, , 
2025/4/14, 33, 6, , 4, , 
2025/4/15, 17, 6, , 4, , 
2025/4/16, 17, 7, , 3, , 
2025/4/17, 19, 9, , 4, , 
2025/4/18, 21, 8, , 3, , 
2025/4/19, 23, 8, , 3, , 
2025/4/20, 23, 9, , 7, , 
2025/4/21, 24, 9, , 6, , 
2025/4/22, 26, 11, , 8, , 
2025/4/23, 27, 18, , 10, , 
2025/4/24, 42, 18, , 9, , 
2025/4/25, 40, 13, , 2, , 
2025/4/26, 36, 7, , 3, , 
2025/4/27, 23, 8, , 5, , 
2025/4/28, 22, 15, , 5, , 
2025/4/29, 32, 20, , 5, , 
2025/4/30, 40, 22, , 4, , 
2025/5/1, 49, 19, , 4, , 
2025/5/2, 47, 11, , 4, , 
2025/5/3, 31, 9, , 3, , 
2025/5/4, 25, 12, , 7, , 
2025/5/5, 35, 12, , 5, , 
